detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,
HARRIS,41.5856,1008,BRISK,10.2913,MAT_BF,SEL_KNN,53.3719,147,12.7834,16,14.1237,
HARRIS,46.41,1149,BRISK,11.7162,MAT_BF,SEL_KNN,66.9731,156,11.9844,16,10.965,
HARRIS,32.8576,677,BRISK,7.45221,MAT_BF,SEL_KNN,47.0698,194,13.1241,22,12.3725,
HARRIS,27.4524,364,BRISK,4.67505,MAT_BF,SEL_KNN,15.6851,142,13.0241,13,nan,
HARRIS,44.5026,1028,BRISK,10.5176,MAT_BF,SEL_KNN,21.9677,69,11.1746,3,nan,
HARRIS,29.0831,466,BRISK,5.64244,MAT_BF,SEL_KNN,32.7443,211,12.8086,17,12.4205,
detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,

HARRIS,41.5034,299,FREAK,48.7396,
HARRIS,46.7834,820,FREAK,50.2888,MAT_BF,SEL_KNN,17.3448,37,12.5156,4,nan,
HARRIS,26.2957,319,FREAK,45.2966,MAT_BF,SEL_KNN,15.3537,153,12.6142,8,nan,
HARRIS,30.2379,583,FREAK,44.84,MAT_BF,SEL_KNN,11.7395,54,14.091,8,10.7715,
HARRIS,40.3825,940,FREAK,47.8074,MAT_BF,SEL_KNN,29.6904,71,16.6894,5,nan,
HARRIS,39.2189,913,FREAK,49.0737,MAT_BF,SEL_KNN,45.7594,154,15.7466,12,11.1356,
HARRIS,43.3756,1008,FREAK,48.6537,MAT_BF,SEL_KNN,49.0103,130,12.7834,10,nan,
HARRIS,50.1992,1149,FREAK,48.7786,MAT_BF,SEL_KNN,61.7121,143,11.9844,21,11.1055,
HARRIS,32.1797,677,FREAK,46.5859,MAT_BF,SEL_KNN,43.0517,149,13.1241,19,10.2239,
HARRIS,27.2625,364,FREAK,44.9816,MAT_BF,SEL_KNN,14.8297,111,13.0241,8,nan,
detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,

HARRIS,28.2684,299,FREAK,43.7685,
HARRIS,36.9287,820,FREAK,46.6508,MAT_BF,SEL_KNN,14.1251,37,12.5156,4,nan,
HARRIS,26.0384,319,FREAK,43.8013,MAT_BF,SEL_KNN,15.3793,153,12.6142,8,nan,
HARRIS,29.5727,583,FREAK,47.6486,MAT_BF,SEL_KNN,11.5985,54,14.091,8,10.7715,
HARRIS,39.0189,940,FREAK,46.988,MAT_BF,SEL_KNN,30.1125,71,16.6894,5,nan,
HARRIS,37.9243,913,FREAK,46.8596,MAT_BF,SEL_KNN,45.3871,154,15.7466,12,11.1356,
HARRIS,40.5982,1008,FREAK,47.7782,MAT_BF,SEL_KNN,48.7741,130,12.7834,10,nan,
HARRIS,46.1907,1149,FREAK,48.6784,MAT_BF,SEL_KNN,61.203,143,11.9844,21,11.1055,
HARRIS,34.5396,677,FREAK,46.2349,MAT_BF,SEL_KNN,42.7794,149,13.1241,19,10.2239,
HARRIS,25.9533,364,FREAK,44.6582,MAT_BF,SEL_KNN,14.6591,111,13.0241,8,nan,
HARRIS,41.9341,1028,FREAK,49.5204,MAT_BF,SEL_KNN,21.2091,57,11.1746,10,nan,
HARRIS,51.0862,466,FREAK,45.6935,MAT_BF,SEL_KNN,27.2084,183,12.8086,21,10.3736,
HARRIS,30.1972,581,FREAK,46.0061,MAT_BF,SEL_KNN,15.3717,101,8.95978,4,nan,
HARRIS,31.7396,634,FREAK,46.4769,MAT_BF,SEL_KNN,20.9773,133,9.96439,19,11.426,
HARRIS,30.1797,443,FREAK,45.2777,MAT_BF,SEL_KNN,16.9623,104,9.59863,11,nan,
HARRIS,44.0946,1082,FREAK,49.4565,MAT_BF,SEL_KNN,26.9533,80,8.52157,10,nan,
HARRIS,35.8207,817,FREAK,47.4286,MAT_BF,SEL_KNN,48.2441,185,9.51556,16,11.7931,
HARRIS,25.8596,340,FREAK,43.8171,MAT_BF,SEL_KNN,15.5767,127,9.61238,10,nan,
HARRIS,27.206,433,FREAK,44.6385,MAT_BF,SEL_KNN,8.01839,62,8.3988,10,12.5217,
HARRIS,25.8959,299,BRIEF,2.08034,
HARRIS,38.9485,820,BRIEF,4.37058,MAT_BF,SEL_KNN,9.58488,54,12.5156,5,nan,
HARRIS,27.4865,319,BRIEF,2.16498,MAT_BF,SEL_KNN,8.00637,229,12.6142,11,34.1514,
HARRIS,33.0537,583,BRIEF,3.26969,MAT_BF,SEL_KNN,5.6583,86,14.091,12,-151.386,
HARRIS,40.077,940,BRIEF,4.58202,MAT_BF,SEL_KNN,17.2407,114,16.6894,10,nan,
HARRIS,38.8135,913,BRIEF,3.75584,MAT_BF,SEL_KNN,25.0916,187,15.7466,15,16.6076,
HARRIS,47.1917,1008,BRIEF,6.08466,MAT_BF,SEL_KNN,27.6033,189,12.7834,29,17.7482,
HARRIS,45.4778,1149,BRIEF,5.57188,MAT_BF,SEL_KNN,32.2811,207,11.9844,32,12.3971,
HARRIS,31.3638,677,BRIEF,3.09625,MAT_BF,SEL_KNN,23.5327,276,13.1241,34,12.3725,
detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,

SHITOMASI,20.3806,1723,FREAK,53.6983,
SHITOMASI,14.4349,1759,FREAK,57.6091,MAT_BF,SEL_KNN,140.26,476,12.5156,40,13.0861,
SHITOMASI,12.8897,1820,FREAK,57.3094,MAT_BF,SEL_KNN,147.567,531,12.6142,40,12.5676,
SHITOMASI,21.5769,1850,FREAK,71.4429,MAT_BF,SEL_KNN,187.864,541,14.091,32,13.4354,
SHITOMASI,14.6211,1828,FREAK,56.9164,MAT_BF,SEL_KNN,155.693,510,16.6894,43,11.6234,
SHITOMASI,13.2508,1806,FREAK,54.7657,MAT_BF,SEL_KNN,153.603,526,15.7466,44,12.5462,
SHITOMASI,12.6727,1877,FREAK,52.8487,MAT_BF,SEL_KNN,148.254,493,12.7834,39,13.5639,
